Action,Target Type,Target Name,Admin,Date,Time
Admin Logged In,Admin,1001,John Administrator,31/05/2026,16:02
Admin Logged In,Admin,1001,John Administrator,31/05/2026,12:32
Admin Logged In,Admin,1001,John Administrator,31/05/2026,12:09
Added Branch,Branch,Monofia,John Administrator,25/05/2026,09:00
Admin Logged In,Admin,1001,John Administrator,25/05/2026,09:00
Admin Logged In,Admin,1001,John Administrator,25/05/2026,08:38
Added Branch,Branch,monofia,John Administrator,25/05/2026,08:37
Admin Logged In,Admin,1001,John Administrator,25/05/2026,08:36
Admin Logged In,Admin,1001,John Administrator,25/05/2026,08:34
Admin Logged In,Admin,1001,John Administrator,25/05/2026,08:28
Admin Logged In,Admin,1001,John Administrator,25/05/2026,08:18
Admin Logged In,Admin,1001,John Administrator,25/05/2026,08:12
